Date,ADS_return,TSLA_return
2011-04-01,0.004264803531862232,-0.04007152544188095
2011-04-04,0.0007837976890341076,-0.03162770764281358
2011-04-05,0.017966445004017086,0.03312699575163765
2011-04-06,0.0032918778600359837,-0.007896299575408433
2011-04-07,-0.005712971472554963,0.027919177997333233
2011-04-08,0.004945768813754959,-0.02791917799733333
2011-04-11,-0.001975429616733561,-0.04714938188387545
2011-04-12,-0.008383747137514903,-0.024841020911403795
2011-04-13,0.007724539271605865,0.011294997046767346
2011-04-14,0.008646749005114819,0.008388265849386735
2011-04-15,0.02134854388337355,0.01735063276584337
2011-04-18,-0.002456625788380586,-0.021735650754956943
2011-04-19,0.013384426476636594,0.005180286436500195
2011-04-20,0.024288455626358618,0.02317919527750529
2011-04-21,0.009634179705349105,0.037725944564051934
2011-04-26,0.004173201481118434,0.00708033514971037
2011-04-27,-0.002338793563402403,0.00555454122056666
2011-04-28,0.013952228983887358,0.021191878192537962
2011-05-02,0.007999994409019289,-0.00762112185120069
2011-05-06,0.05201017545625851,-0.012094704440060975
2011-05-09,0.0007561457713345238,0.028713547602880286
2011-05-10,0.0026421156290109948,0.014936266294194324
2011-05-11,-0.005480565481148217,-0.04549521021621531
2011-05-12,0.0024605035760118716,0.021922690172624774
2011-05-13,-0.00828766772356396,-0.004346294497552432
2011-05-16,0.011354038412911122,-0.035091283513628675
2011-05-17,-0.018540645607276668,-0.024354362472566126
2011-05-18,0.00019506214215555078,0.014911421672284202
2011-05-19,0.00019475540573034444,0.06785373841768876
2011-05-20,0.011430876420758447,-0.00818954194378465
2011-05-23,-0.016705760509354673,-0.04198459360774307
2011-05-24,0.008970301528614836,-0.0037355666102379397
2011-05-25,0.003101372206461133,0.08119362564924175
2011-05-26,-0.015603973068185163,0.01710613042859958
2011-05-27,0.009196781923588854,0.0023716426900231152
2011-05-31,0.0202455863408301,0.01976945000868952
2011-06-01,-0.0038248142068861004,-0.05524756447375329
2011-06-02,-0.017005126041557513,0.008379937306750917
2011-06-03,-0.0025369843225223083,0.046535787099851046
2011-06-06,-0.007452463418246698,-0.048624162343916734
2011-06-07,-0.01587324673102422,-0.011564873539519046
2011-06-08,-0.02030483951419949,-0.04506078412391086
2011-06-09,0.015292258193355345,0.018268684241443057
2011-06-10,-0.012031876193615738,0.008651820058619943
2011-06-13,0.015443168155227584,0.020252921417494844
2011-06-14,0.011749485920403323,0.005961792162898636
2011-06-15,0.007888071675182216,-0.04578768312321768
2011-06-16,-0.017436425076384248,-0.030474301710412748
2011-06-17,0.019594868107595212,0.0
2011-06-20,-0.0003921326398843074,-0.0186636535316163
2011-06-21,0.0272718525342994,0.05679527601796525
2011-06-22,0.008927748070590493,-0.011691839434565757
2011-06-23,-0.028192584890572484,0.018208806742871727
2011-06-24,0.009678731956284518,-0.00506509775112618
2011-06-27,-0.0027005605924686456,-0.00399786111248708
2011-06-28,0.03809080823841112,0.02339505656975016
2011-06-29,0.021522035771586658,0.006383000168686249
2011-06-30,-0.004559923614521925,0.029260115980817153
2011-07-01,0.0009136454746236784,-0.0037832891864302072
2011-07-05,0.01863790789450117,0.004126518993926461
2011-07-06,0.0032218713533650844,-0.006196233462840019
2011-07-07,-0.0028633359933337354,0.02624110402287803
2011-07-08,0.0007165824137935136,-0.03143412262374003
2011-07-11,-0.016430725334192483,-0.01609548421250524
2011-07-12,-0.003647628965760868,-0.006369448285479823
2011-07-13,0.028815307716262437,0.0165467252879618
2011-07-14,-0.006947627706838065,-0.03662624501541937
2011-07-15,0.02611290531649898,-0.0010871897956680604
2011-07-19,-0.06921670197562475,0.011177293419095992
2011-07-20,-0.0020552086359354313,0.028280499064371394
2011-07-21,-0.006567209484730934,0.0003484927601571737
2011-07-22,0.03405210168513645,0.020349037372206353
2011-07-25,0.009777416892541439,-0.027693046471169804
2011-07-26,-0.018182274064460362,-0.017348638334612976
2011-07-27,-0.005519963846467097,-0.012940547455185471
2011-07-28,-0.01449566290125524,0.018993619168262827
2011-07-29,-0.03098795227552266,0.0
2011-08-01,-0.011653061198059457,0.02107559567517522
2011-08-02,-0.033167474653417656,-0.05098234626765298
2011-08-03,-0.013929413606333669,-0.005133821229146623
2011-08-04,-0.006058955870747024,-0.09439152105195749
2011-08-05,-0.0005152469116681482,-0.020821327813585627
2011-08-08,-0.06559026950154366,-0.02506401096440153
2011-08-09,0.019938600296706747,0.0583327593269795
2011-08-10,-0.020599102444265344,-0.050747345636537454
2011-08-11,0.06243035095221302,0.06027879228062793
2011-08-12,0.022201441688016108,0.039144700836056694
2011-08-15,-0.007821788930156486,-0.0030452631650563517
2011-08-16,-0.016140042595167794,-0.004968479550134558
2011-08-17,-0.004570408059636476,-0.010398707220898735
2011-08-18,-0.05488888546683328,-0.06270770359184491
2011-08-19,-0.023143037606978754,-0.08424226989288139
2011-08-22,-0.007003375031279398,-0.015819448543756782
2011-08-23,0.013287024988392874,0.044986342818091885
2011-08-24,0.027253928512324162,0.03886895434697056
2011-08-25,-0.005785957921907481,-0.0323570146867287
2011-08-26,0.006438766599056957,0.026474602890072547
2011-08-29,0.035897342091858166,0.04046790908340014
2011-08-30,-0.00811328179202592,-0.0032428079995199316
2011-08-31,0.025590208452888005,0.004456195432789337
2011-09-01,-0.009949325242729568,-0.030367536616396167
2011-09-02,-0.031852837052499125,-0.03952075816228327
2011-09-06,-0.04970992039010615,-0.005650916892459419
2011-09-07,0.061893465304634604,0.03848268690394625
2011-09-08,-0.0006375763601801028,-0.00969444874479395
2011-09-09,-0.0308713273921145,-0.02748142028639487
